"Year","Country","Region","Location Name","Latitude","Longitude","Focal Depth (km)","Mag","Ms","MMI Int","Deaths","Death Description","Damage Description","Houses Destroyed Description"
"1850","CHINA","30","CHINA:  GANSU PROVINCE:  WUSBAN","34.7","104.9","","5","5","6","","2","1","1"
"1851","CHILE","160","CHILE:  VALPARAISO","-33.32","-71.42","","7.1","7.1","8","","1","3","3"
"1851","ITALY","130","ITALY:  MELFI, RAPOLLA, BARILE, RIONERO, MT VULTURE","41","15.7","","","","11","671","3","3","3"
"1851","ALBANIA","130","ALBANIA:  VLORE (VALONA),BERAT; TURKEY","40.5","19.7","","6.6","6.6","11","2000","4","4","4"
"1851","ALBANIA","130","ALBANIA:  BERAT","40.5","19.7","","","","10","400","3","3","3"
"1852","PAKISTAN","60","PAKISTAN:  UPPER SINDH, FORT KAHAN, MURREE HILLS","27.7","68.8","","","","","350","3","3","3"
"1852","IRAN","140","IRAN:  KHABUSHAN (NW KUCHAN)","37.1","58.4","10","5.8","","9","2000","4","3",""
"1852","AZORES (PORTUGAL)","130","AZORES:  SAO MIGUEL (SAN MIGUEL)","37.5","-25.3","","","","10","12","1","1","1"
"1852","CHINA","30","CHINA: NINGXIA","37.5","105.2","","6","6","8","300","3","3","4"
"1852","TURKEY","140","TURKEY","39.9","41.3","","7.3","","","17","1","1",""
"1852","PHILIPPINES","170","PHILIPPINES:  LUZON:  BATAAN, RIZAL, PAMPANGA,MANILA","14","120.5","","7.5","7.5","9","3","1","3","3"
"1852","MEXICO","150","S. MEXICO","17","-100","","","","","1","1","3","3"
"1853","JAPAN","30","JAPAN:  ODAWARA","35.5","139.5","","","","","79","2","3",""
"1853","ITALY","130","ITALY:  CAPOSELE,CALABRITTO,LIONI","40.9","15.2","","","","9","12","1","2",""
"1853","IRAN","140","IRAN:  SHIRAZ","29.6","52.5","","","","9","13000","4","4","4"
"1853","VENEZUELA","90","VENEZUELA:  CUMANA","10.5","-64.2","14","6.7","6.7","9","1000","3","3","3"
"1853","GREECE","130","GREECE:  THEBES, BOEOTIA","38.25","23.5","","","","9","17","1","2",""
"1854","ITALY","130","ITALY:  CONNICI,COSENZA,PIETRAFITTA,PATERNO","39.3","16.3","","","","10","468","3","3",""
"1854","EL SALVADOR","100","EL SALVADOR:  SAN SALVADOR","13.8","-89.2","","","","","1000","3","4",""
"1854","JAPAN","30","JAPAN:  IGA, ISE, YAMATO","35","136","","","","","1352","4","3","4"
"1854","ALBANIA","130","ALBANIA:  DELVINE, SULI, GZIG","39.5","20.5","","","","10","","3","3","3"
"1854","JAPAN","30","JAPAN:  ENSHUNADA SEA","34","137.9","","8.3","8.3","","300","3","3","3"
"1854","JAPAN","30","JAPAN:  NANKAIDO","33.1","135","","8.4","8.4","","","3","3","4"
"1854","CHINA","30","CHINA: SICHUAN PROVINCE","29.1","107.1","","5.5","5.5","7","","3","2","2"
"1855","TURKEY","140","TURKEY:  TAYABAS, BURSA","40.2","29.1","","6.7","","10","1900","4","2",""
"1855","TURKEY","140","TURKEY:  BURSA","40.2","29.1","","","","10","400","3","2",""
"1855","TURKEY","140","TURKEY:  BURSA","40.2","29.1","","6.7","","","1300","4","3",""
"1855","INDONESIA","170","INDONESIA:  MALUKU:  TERNATE ISLAND","0.8","127.3","","","","9","34","1","2","1"
"1855","SWITZERLAND","120","SWITZERLAND:  HAUT-VALAIS","46.3","7.9","","","","8","1","1","3",""
"1855","JAPAN","30","JAPAN:  TOKYO","35.65","139.8","","7","7","","6757","4","4","4"
"1855","CHINA","30","CHINA:  LIAONING PROVINCE","39.1","121.6","","5.5","5.5","7","7","1","2","3"
"1856","CHINA","30","CHINA:  HUBEI PROVINCE","29.7","108.8","","5.5","5.5","7","300","3","2",""
"1856","HONDURAS","90","HONDURAS:  COAST","16","-88","","7.5","7.5","","","3","3","3"
"1856","GREECE","130","GREECE:  CRETE; EGYPT","35.5","26","100","","","11","538","3","3","4"
"1856","GREECE","130","GREECE:  CHIOS (E SPORADES)","38.25","26.25","","6.6","6.6","9","","2","2","3"
"1857","INDONESIA","60","INDONESIA:  TIMOR ISLAND::  DILHI, GERA","-8","115.5","50","7","7","","36","1","2","2"
"1857","ITALY","130","ITALY:  CALABRIA,MONTEMURRO","39.4","16.4","","","","","10000","4","3",""
"1857","ITALY","130","ITALY:  CAMPANIA, POTENZA","40.3","16","","6.5","","10","10000","4","4",""
"1858","GREECE","130","GREECE:  VIEILLE,KORINTHOS,HEXAMILIA","38","23","","","","10","19","1","3",""
"1858","JAPAN","30","JAPAN:  HIDA:  N","36","137.5","","","","","203","3","2","3"
"1858","ALBANIA","130","ALBANIA:  DELVINON, BERATI; GREECE: CORFU","40","20","","","","10","12","1","3","4"
"1858","PORTUGAL","130","PORTUGAL:  SETUBAL","38.2","-9","","","","10","6","1","3","3"
"1859","ECUADOR","160","ECUADOR:  PICHINCHA","-0.3","-78.5","","","","","","1","3",""
"1859","TURKEY","140","TURKEY:  ERZURUM","39.9","41.3","","6.1","","","15000","4","3",""
"1859","AZERBAIJAN","40","AZERBAIJAN:  SHEMAKHA (SEMACHA)","40.7","48.5","10","5.9","","9","100","2","2",""
"1859","ITALY","130","ITALY","42.8","13.1","","","","11","100","2","2",""
"1859","CHILE","160","CHILE","-27.35","-70.35","","7.6","7.6","10","10","1","1","3"
"1861","INDONESIA","60","INDONESIA:  LAGUNDI, SIMUK, TELLO I","-1","97.5","70","8.5","8.5","9","","3","2",""
"1861","INDONESIA","60","INDONESIA:  SW. SUMATRA","0.009","98","20","7","7","","","3","2","2"
"1861","ARGENTINA","160","ARGENTINA:  MENDOZA, SAN LUIZ","-32.8","-68.8","","","","","14000","4","4","4"
"1861","ITALY","130","ITALY:  CITTA DELLA PIEVE","46","12","","","","11","1","1","2",""
"1861","CHINA","30","CHINA:  LIAONING PROVINCE","39.1","121.7","","6","6","8","2","1","2","3"
"1861","GREECE","130","GREECE:  ACHAIE,VALYMITIKA,TRIPOLIS","38.2","22.2","","7.5","","10","17","1","1",""
"1862","TAIWAN","30","TAIWAN:  TAINAN","23.4","120","","6.5","6.5","8","2000","4","3","3"
"1862","GHANA","10","GHANA:  ACCRA,CHRISTIANSBORG,ASHANTI,AKWAPIM","7","0.4","","6.5","","9","3","1","3","3"
"1862","TURKEY","140","TURKEY","38.8","30.5","","6.1","","","800","3","2",""
"1862","CHINA","30","CHINA:  SHANXI PROVINCE","35.5","111.5","","5.5","5.5","7","","2","2","3"
"1863","GREECE","130","GREECE:  RHODES, KOS","36.5","28","","6.7","6.7","11","","1","3","4"
"1863","CHINA","30","CHINA:  YUNNAN PROVINCE","26","100.1","","5.5","5.5","7","","3","3","3"
"1863","PHILIPPINES","170","PHILIPPINES:  MANILA, RIZAL, BULACAN","14.5","121","","6.5","6.5","10","400","3","4","4"
"1863","TURKEY","140","TURKEY:  GALLIPOLI, GEMLIK","40.5","29.1","","6.7","6.7","9","2","1","1",""
"1863","IRAN","140","IRAN:  NIR,ARDABIL","38","47.6","","","","","500","3","3",""
"1863","TURKEY","140","TURKEY:  SUHUT","38.53","30.55","","","","10","800","3","3",""
"1864","IRAN","140","IRAN:  ARDABIL; AZERBAIJAN:  LENKORAN, NIAR","38.25","48.28","","","","9","500","3","3","3"
"1864","IRAN","140","IRAN:  KIRMAN, CHATRUD","30.6","57","","","","8","","3","3",""
"1864","MEXICO","150","MEXICO:  PUEBLA,VERACRUZ,ACULTZINGO,ACATZINGO","18.6","-97.5","","","","","20","1","3",""
"1864","IRAQ","140","IRAQ:  ZURBATIYAH, BADRAH, TURSAQ, BAGHDAD","33.38","45.98","","6.4","6.4","8","100","2","2","2"
"1865","ITALY","130","ITALY:  ETNA","37.7","15.1","","","","9","60","2","1",""
"1866","ALBANIA","130","ALBANIA:  SMOKTHINE, VELCA, VLORE","40.3","19.3","","","","10","20","1","1","1"
"1867","ALGERIA","15","ALGERIA:  EL AFFROUN","36.4","2.7","","","","10","70","2","2","3"
"1867","GREECE","130","GREECE:  CEPHALONIA","38.4","20.2","100","7.9","","10","200","3","3",""
"1867","GREECE","130","GREECE:  MITILINI","39.2","26.4","","7","7","","500","3","3",""
"1867","INDONESIA","60","INDONESIA:  JAVA:  JOGYAKARTA, SURAKARTA","-7.8","110.4","","","","9","5","1","3","3"
"1867","GREECE","130","GREECE:  PENINSULA OF MAINA (LACONIA)","36.4","22.2","","7.1","7.1","10","","2","2","2"
"1867","TAIWAN","30","TAIWAN:  CHILUNG (KEELUNG)","25.34","121.91","","7","6","","","3","2","2"
"1868","USA","150","HAWAII:  SE OF","19","-155.5","","7.9","","10","31","1","1","1"
"1868","CHILE","160","CHILE:  ARICA","-18.6","-71","25","8.5","8.5","11","25000","4","4",""
"1868","ECUADOR","160","ECUADOR:  EL ANGEL, CONCEPCION","0.81","-77.72","","8","8","8","","1","3","3"
"1868","ECUADOR","160","ECUADOR:  GUAYAQUIL,IBARRA; COLOMBIA:  SAN PABLO","0.31","-78.18","20","7.7","7.7","10","70000","4","4","4"
"1868","USA","150","CALIFORNIA:  HAYWARD,SAN FRANCISCO","37.7","-122.1","","6.8","","9","30","1","1","2"
"1869","INDIA","60","INDIA:  ASSAM:  CACHAR,SILCHAR","24.5","92.5","","","","","2","1","3","4"
"1869","VENEZUELA","160","VENEZUELA:  SAN CRISTOBAL,TACHIRA (LOBATERA)","7.5","-72.1","","","","","","1","2",""
"1869","NEPAL","60","NEPAL:  KATHMANDU","27.7","85.3","","6.5","6.5","","","3","4","4"
"1869","ALGERIA","15","ALGERIA:  BISKRA","34.9","5.9","","","","10","40","1","2","3"
"1869","TURKEY","130","TURKEY:  GULF OF KERAMOS, MENTESE","37","28","","7.5","7.5","10","3","1","3","3"
"1869","GREECE","130","GREECE:  LEUKAS (IONIAN ISLANDS)","38.8","20.8","","","","11","15","1","3",""
"1870","CHINA","30","CHINA:  SICHUAN PROVINCE:  BATANG","30","99","","7.3","7.3","10","2300","4","4","4"
"1870","MEXICO","150","MEXICO:  OAXACA,ZANAGUIA,SAN FRANCISCO OZOLOTEPEC","15.4","-96.3","","7.9","7.9","","24","1","3","3"
"1870","VENEZUELA","160","VENEZUELA:  EL TOCUYO","9.5","-69.5","","","","","3","1","2",""
"1870","GREECE","130","GREECE:  ITEA DELPHI (PHOKIS)","38.5","22.5","","7","7","10","100","2","2","3"
"1870","GREECE","130","GREECE","38.5","22.5","","7.5","","","100","2","3",""
"1870","ITALY","130","ITALY:  COSENZA","39.2","16.3","","","","10","136","3","2",""
"1870","CANADA","150","CANADA:  QUEBEC: QUEBEC CITY, CHARLEVOIX","47.4","-70.5","","","","","2","1","1","1"
"1870","PHILIPPINES","170","PHILIPPINES:  MINDANAO:  DAVAO,BLANCO","7","125.4","","","","","4","1","2",""
"1871","USA TERRITORY","90","VIRGIN ISLANDS:  ST. THOMAS","18.35","-64.9","","","","","","2","2","2"
"1871","CHILE","160","CHILE","-20.2","-70.2","","7.3","7.3","10","","1","3","3"
"1871","IRAN","140","IRAN:  QUCHAN","37.3","58.3","15","5.6","","7","2000","4","3",""
"1872","IRAN","140","IRAN:  QUCHAN","37.3","58.3","15","6.3","","7","4000","4","3",""
"1872","GREECE","130","GREECE:  SAGIADHA-KONISPOLIS (THESPROTIA)","39.8","20.3","","","","10","","2","3",""
"1872","JAPAN","30","JAPAN:  HONSHU:  SW","34.9","132","","7.4","7.4","","804","3","4","4"
"1872","USA","150","CALIFORNIA:  OWENS VALLEY","36.7","-118.1","","7.8","","10","27","1","1","2"
"1872","TURKEY","140","TURKEY:  ANTAKYA (ANTIOCH), SUEDIJE","36.2","36.2","","7.3","7.3","10","1800","4","3","3"
"1873","EL SALVADOR","100","EL SALVADOR:  SANTA TOMAS, SAN VICENTE","13.64","-89.13","","","","","800","3","4","3"
"1873","ITALY","130","ITALY:  BELLUNESE","46.2","12.4","","","","10","55","2","2",""
"1873","CHILE","160","CHILE:  LIGUA, QUILLOLTA","-32.3","-71.16","","","","","","1","3","3"
"1873","PAPUA NEW GUINEA","170","PAPUA NEW GUINEA:  MACLAY COAST","-5.5","146","","8","8","9","","2","2","2"
"1874","GUATEMALA","100","GUATEMALA:  ANTIGUA,CHIMALTENANGO,AMATITLAN","14.5","-90.7","","","","","300","3","3",""
"1874","AFGHANISTAN","40","AFGHANISTAN","35","69","","","","","","3","3",""
"1875","MEXICO","150","MEXICO:  SAN CRISTOBAL DE LA BARRANCA","20.7","-103.4","","7.5","","","25","1","2","3"
"1875","TURKEY","140","TURKEY:  CAPALI, DINAR, CIVRIL, YAKA","38.1","30.2","","7.3","7.3","10","1300","4","4","4"
"1875","COLOMBIA","160","COLOMBIA:  CUCUTA,SAN CAYETANO,VILLA DEL ROSARIO","7.9","-72.5","20","7.5","7.5","10","1001","4","3","3"
"1875","INDONESIA","60","INDONESIA:  W JAVA:  KUNINGAN","-6.9","108.3","","","","8","7","1","3",""
"1875","ETHIOPIA","10","ETHIOPIA:  ERITREA, TIGRAY","16","38.5","","6.2","","","","2","3",""
"1877","CHILE","160","CHILE:  OFF NORTH COAST","-21.5","-70.5","40","8.3","8.3","11","103","2","2","3"
"1878","CHILE","160","CHILE:  TARAPACA","-19.92","-70.335","40","7.9","7.9","8","","1","3","3"
"1878","VENEZUELA","160","VENEZUELA:  CUA, CHARALLAVE, SAN DIEGO","10.3","-66.8","13","5.9","5.9","9","400","3","3",""
"1878","TURKEY","140","TURKEY:  IZMIT, ESME, LABINIA","40.8","29","","6.7","6.7","9","40","1","2","3"
"1878","CHINA","30","CHINA:  YUNNAN PROVINCE","27.7","100.8","","5.5","5.5","7","70","2","3","3"
"1878","EL SALVADOR","100","EL SALVADOR:  JUCUAPA","13.5","-88.4","","","","","","3","3","3"
"1879","IRAN","140","IRAN:  BOZQUSH, ARDABIL, GAMRUD, TARK, MANAN","37.8","47.9","","6.7","6.7","9","2000","4","3","4"
"1879","IRAN","140","IRAN:  BOJNURD","37.5","57.4","15","6.7","","9","700","3","3",""
"1879","CHINA","30","CHINA:  GANSU PROVINCE","33.2","104.7","","8","8","11","22000","4","4","4"
"1879","ITALY","130","ITALY","37.5","15","","","","10","10","1","2",""
"1880","CUBA","90","CUBA:  SAN CRISTOBAL,CANDELARIA","22.4","-83","","","","9","","2","2",""
"1880","CHINA","30","CHINA:  GANSU PROVINCE:   WENXIAN","33","104.6","","5.5","5.5","8","8","1","2",""
"1880","PHILIPPINES","170","PHILIPPINES:  S COAST LUZON:  PASIG RIVER,PAMPANGA","16","121.85","100","7.5","7.5","9","20","1","3","3"
"1880","TURKEY","140","TURKEY:  IZMIR","38.1","27.8","","6.1","","","","3","1",""
"1880","TURKEY","140","TURKEY","38.6","27.1","","6.7","","10","30","1","1",""
"1880","CHILE","160","CHILE:  ILLAPEL","-31.62","-71.18","","7.7","7.7","10","2","1","3","3"
"1880","IRAN","140","IRAN:  BASTAK, JONAH","27.1","54.2","","","","","120","3","2",""
"1881","TAIWAN","30","TAIWAN:  S of XINZHU","24.5","120.7","","5.5","5.5","7","11","1","2","2"
"1881","ITALY","130","ITALY:  ISCHIA ISLAND","40.7","13.9","","","","9","121","3","1",""
"1881","GREECE","130","GREECE:  KHIOS; TURKEY: CESME","38.25","26.25","","7.3","7.3","11","7866","4","4","4"
"1881","TURKEY","140","TURKEY:  VAN,NEMRUT","38.5","43.3","","","","7","95","2","2",""
"1881","CHINA","30","CHINA:  GANSU PROVINCE","33.6","104.6","","6.5","6.5","8","480","3","3","4"
"1881","TAIWAN","30","TAIWAN","25","121.5","","5.5","5.5","7","","1","2","3"
"1881","TURKEY","140","TURKEY","40.6","33.6","","6.1","","","12","1","1",""
"1882","MEXICO","150","MEXICO:  PUEBLA,HUAHUAPAN,HUAMUXTITLAN,XALPATLAHUAC","17.5","-98.3","","","","","7","1","3",""
"1882","ITALY","130","ITALY","40.9","14.4","","","","","11","1","1",""
"1882","PANAMA","90","PANAMA: SAN BLAS ARCHIPELAGO","10","-79","","8.3","8.3","11","","2","3","3"
"1882","CHINA","30","CHINA:  HEBEI PROVINCE","38.1","115.5","","5.8","5.8","8","11","1","3","3"
"1882","TAIWAN","30","TAIWAN:  ZHANGHUA","23.8","120.5","","6.3","6.3","8","8","1","1","1"
"1883","IRAN","140","IRAN:  TABRIZ","38.1","46.3","","6.2","6.2","7","","3","3",""
"1883","ITALY","130","ITALY:  ISCHIA IS: CASAMICCIOLA, FORINO, LACCO AMENO","40.7","13.9","","","","10","2313","4","4","4"
"1883","TURKEY","140","TURKEY:  AYVALIK, IZMIR, CESME","38.3","26.2","","7.3","7.3","10","15000","4","4","4"
"1884","IRAN","140","IRAN:  QESHM I,BANDAR-E-LAFT,SAHELI,TONBAN,DIRESTAN","26.81","55.91","","","","8","238","3","3","3"
"1884","CHINA","30","CHINA:  YUNNAN PROVINCE","23","101.1","","6.5","6.5","8","17","1","2","3"
"1884","SPAIN","130","SPAIN:  ARENAS DEL REY, VEGA, ALHAMA, MALAGA","36.95","-3.983","","6.7","6.7","9","745","3","4","4"
"1885","CHINA","30","CHINA:  GANSU PROVINCE","34.5","105.7","","6","6","8","80","2","2","4"
"1885","INDIA","60","INDIA:  KASHMIR:  SRINAGAR","34.5","74.68","","6.3","","","3000","4","4","4"
"1885","BANGLADESH","60","BANGLADESH:","24.8","89.5","","6.9","","7","75","2","2","4"
"1885","KYRGYZSTAN","40","KYRGYZSTAN:  BELOVODSKOJE","42.7","74.1","15","6.9","","10","54","2","2",""
"1885","ALGERIA","15","ALGERIA:  M'SILA","36.1","4.6","","5.9","","9","33","1","3","3"
"1885","CHINA","30","CHINA:   YUNNAN PROVINCE","25","104","","5","5","6","4","1","1","1"
"1886","GREECE","130","GREECE:  TRIPHYLIE (PELEPONESE), PHILIATRA","37.1","21.5","","7.5","","10","600","3","3",""
"1886","USA","150","SOUTH CAROLINA:  CHARLESTON","32.9","-80","","7.3","","10","60","2","2",""
"1887","ITALY","130","ITALY:  LIGURIAN COAST","43.9","8.1","","","","10","800","3","3",""
"1887","MEXICO","150","MEXICO:  BAVISPE","31","-109","80","8","8","","44","1","3","3"
"1887","ALGERIA","15","ALGERIA:  KALAA","35.58","0.33","","","","10","20","1","3","3"
"1887","CHINA","30","CHINA:  YUNNAN PROVINCE","23.7","102.5","","6.8","6.8","9","2000","4","3","3"
"1888","TRINIDAD AND TOBAGO","90","TRINIDAD; GRENADA:  ST GEORGE'S","10.3","-61.1","","7.5","","8","1","1","2",""
"1888","CHINA","30","CHINA:  QINGHAI PROVINCE","36.5","102.2","","5","5","6","","1","1","2"
"1888","CHINA","30","CHINA:  BOHAI GULF","38.5","119","","7.5","7.5","","","1","3","3"
"1888","TURKEY","140","TURKEY","41.3","43.3","","6.1","","","","3","2",""
"1888","CHINA","30","CHINA:  GANSU PROVINCE","37.1","104.2","","","","8","","3","3","3"
"1888","COSTA RICA","90","COSTA RICA:  SAN JOSE, ALA JUELA, HEREDIA","9.95","-84.1","","","","8","","1","3","4"
"1889","JAPAN","30","JAPAN:  KUMAMOTO","32.8","130.7","","6.3","6.3","","20","1","1","3"
"1889","GREECE","130","GREECE:  LESBOS","39.2","26","","6.9","","11","25","1","2",""
"1890","IRAN","140","IRAN:  TASH, ASTRABAD (GORGAN), BASTAM, SHAKHRUD","36.6","54.6","10","7.2","7.2","10","171","3","3","3"
"1890","INDONESIA","60","INDONESIA:  JAVA:  PATI","-6.76","111.04","","","","8","","2","2","3"
"1891","ALGERIA","15","ALGERIA:  BOURAVA, GOURAYA","36.5","1.8","","","","10","36","1","2","2"
"1891","TURKEY","140","TURKEY:  VAN:  ADELJIWAZ","38.3","43.2","","","","","","3","3",""
"1891","CHINA","30","CHINA:  SHANXI PROVINCE","37.1","111.9","","5.8","5.8","7","31","1","1","2"
"1891","JAPAN","30","JAPAN:  MINO-OWARI","35.5","137","","8.4","8.4","","7273","4","4","4"
"1892","PHILIPPINES","170","PHILIPPINES:  LUZON:  ABRA,PANGASINAN,UNION","17.3","120.6","","","","10","2","1","3",""
"1893","TURKEY","140","TURKEY:  MALATYA","38.3","38.3","","6.7","6.7","9","400","3","3",""
"1893","SERBIA","130","BALKANS:  NW:  POPOVIC","44.2","21.2","","","","10","3","1","3","3"
"1893","GREECE","130","GREECE:  ZAKINTHOS (ZANTE), GAITANI-KERI","37.7","20.9","","6.4","6.4","10","","2","3","4"
"1893","CHINA","30","CHINA:  QINGHAI PROVINCE","36.6","101.8","","5.5","5.5","7","","3","2","3"
"1893","CHINA","30","CHINA:  SICHUAN PROVINCE","30.5","101.5","","6.8","6.8","9","288","3","3","3"
"1893","IRAN","140","IRAN:  QUCHAN, MASHHAD, BOJNURD","37.2","58.4","","6.6","6.6","10","18000","4","4","4"
"1893","CHINA","40","CHINA: XINJIANG","41.7","82.8","","6.8","6.8","9","90","2","3","3"
"1893","CHINA","40","CHINA: XINJIANG","41.2","80.3","","6.5","6.5","8","","3","2","3"
"1894","IRAN","140","IRAN:  QUCHAN","37.1","58.3","","","","","","1","1","1"
"1894","IRAN","140","IRAN:  SHIRAZ","29.4","52.3","","","","","","3","3","3"
"1894","JAPAN","30","JAPAN:  OFF COAST OF HONSHU","42.5","146","40","7.9","7.9","9","1","1","1","1"
"1894","GREECE","130","GREECE:  LOCRIDE, MALESINA-MARTINON (LOKRIS)","38.6","23.2","","6.7","6.7","10","255","3","3",""
"1894","GREECE","130","GREECE:  ST KONSTANTINOS-ARKITSA (LOKRIS)","38.7","23.1","","6.9","6.9","11","","3","3",""
"1894","JAPAN","30","JAPAN:  TOKYO","35.7","139.9","","7.5","7.5","","24","1","1","2"
"1894","PHILIPPINES","170","PHILIPPINES:  E MINDANAO:  AGUSAN RIVER VALLEY","8.2","126.1","","","","8","","3","1",""
"1894","JAPAN","30","JAPAN:  SYONAI","38.9","139.8","","7","7","","726","3","3","4"
"1894","ITALY","130","ITALY:  PALMI, SANTA CRISTINA","38.3","15.9","","","","10","101","3","2",""
"1895","IRAN","140","IRAN:  QUCHAN","37.1","58.4","","6.8","6.8","","1000","4","4","4"
"1895","SLOVENIA","130","BALKANS NW:  SLOVENIA:  LJUBLJANA","46.1","14.5","16","6.1","6.1","9","7","1","3","3"
"1895","ALBANIA","130","ALBANIA:  HIMARA","40.1","19.4","","","","10","","3","2",""
"1895","GREECE","130","GREECE:  MARGARITION-FILIATES (THESPROTIA)","39.5","20.5","","7.5","7.5","10","","2","3",""
"1895","CHINA","30","CHINA: GUANGDONG PROVINCE","23.5","116.5","","6","6","8","","2","2","3"
"1896","IRAN","140","IRAN:  SANGABAD (SENJABAD)","37.8","48.3","","","","8","300","3","3",""
"1896","IRAN","140","IRAN:  KHVOY (KHOY)","38.5","45","","","","","800","3","3",""
"1896","CHINA","30","CHINA:  SICHUAN PROVINCE:  FUSHUN","29.2","104.9","","5.8","5.8","7","26","1","2","3"
"1896","CHINA","40","CHINA:  XINJIANG","38","76","","6.5","6.5","","7","1","1","1"
"1896","INDONESIA","60","INDONESIA:  TIMOR:  ALOR ISLAND","-8.25","124.75","","","","8","250","3","2","3"
"1896","JAPAN","30","JAPAN:  SANRIKU","39.5","144","","8.3","7.6","","27122","4","4","4"
"1896","JAPAN","30","JAPAN:  SENHOKU, UGO","40","141","","","","","206","3","4","4"
"1896","CHINA","40","CHINA:  XINJIANG PROVINCE:  KASHGAR","39.7","75.9","25","6.6","6.6","8","7","1","2","2"
"1897","IRAN","140","IRAN:  QESHM ISLAND, LARAK ISLAND","26.95","56.26","33","6.1","6.1","8","1600","4","4","4"
"1897","TAIWAN","30","TAIWAN:  YILAN","24.7","121.8","","6","6","8","56","2","1","1"
"1897","MONTSERRAT","90","MONTSERRAT","16.72","-62.18","","","","","","3","2","3"
"1897","GUADELOUPE","90","GUADELOUPE; ANTIGUA; ST KITTS","16.5","-61.8","","","","9","6","1","2","1"
"1897","INDIA","60","INDIA:  ASSAM; BANGLADESH","26","91","33","8","8.7","10","1542","4","4","4"
"1898","CHINA","40","CHINA: XINJIANG","39.8","76.6","","6","6","8","47","1","2","3"
"1898","CROATIA","130","BALKANS NW:  CROATIA:  CAPARICE,GRAB,KUSUTE","43.6","16.7","","","","10","","2","1",""
"1898","CHILE","160","CHILE:  CONCEPCION","-36.83","-73.03","","6.5","6.5","8","6","1","2","2"
"1898","CHINA","30","CHINA:  SHANXI PROVINCE","39.1","113","","5.5","5.5","7","12","1","2","3"
"1899","TURKEY","140","TURKEY:  SULTANHISAR,ATCA,NAZILLI,KUYUCAK,DENIZLI","37.93","28.84","","6.7","6.7","9","1117","4","3","4"
"1899","INDONESIA","170","INDONESIA:  BANDA SEA","-3","128.5","","7.8","7.8","","2460","4","3",""
"1899","USA","150","CALIFORNIA","33.5","-117","","6.4","6.4","9","6","1","2",""
"1899","TURKEY","140","TURKEY","41.6","43.5","","5.6","","","247","3","2",""
"1900","TURKEY","140","TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR","40.3","43.1","","5.9","","8","140","3","3",""
"1900","VENEZUELA","90","VENEZUELA:  MACUTO","11","-66","","7.7","8.4","10","25","1","3","3"
"1901","CHINA","30","CHINA:  YUNNAN PROVINCE","26","100.1","","6","6","8","","3","3","3"
"1901","BULGARIA","110","BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU","43.4","28.7","","6.4","6.4","8","4","1","3","4"
"1901","BULGARIA","110","BULGARIA:  BALCHIK","43.4","28.5","","7.2","7.2","10","4","1","3","4"
"1901","JAPAN","30","JAPAN:  OFF NORTHEAST COAST HONSHU","40.6","142.3","33","8.2","8.2","","18","1","2","1"
"1902","MEXICO","150","MEXICO:  GUERRERO","17.6","-99.7","","7","7","","2","1","2",""
"1902","AZERBAIJAN","40","AZERBAIJAN:  SEMACHA; N IRAN","40.7","48.6","15","6.9","6.9","9","86","2","4","4"
"1902","TURKEY","140","TURKEY:  CANKIRI","40.7","33.6","","5.5","","9","4","1","3",""
"1902","GUATEMALA","100","GUATEMALA:  QUEZALTENANGO, SAN MARCOS","14","-91","33","7.5","7.5","","2000","4","3",""
"1902","IRAN","140","IRAN:  QESHM ISLAND:  QESHM,BANDAR ABBAS,GENU","27.1","56.3","","6.3","6.3","8","10","1","2",""
"1902","PHILIPPINES","170","PHILIPPINES:  MINDANAO:  LANAO, COTABATO","7.5","123.5","","7.3","7.3","10","","3","3","3"
"1902","CHINA","40","CHINA:  XINJIANG, TURKESTAN","39.88","76.2","30","7.7","7.7","10","2500","4","4","4"
"1902","CHINA","30","CHINA:   YUNNAN PROVINCE","26.3","99.9","","5.5","5.5","7","6","1","2","3"
"1902","UZBEKISTAN","40","UZBEKISTAN:   ANDIZHAN","40.8","72.3","9","6.4","6.4","9","4880","4","4","4"
"1903","TURKEY","140","TURKEY","39.1","42.4","","","","","1700","4","3",""
"1903","TURKEY","140","TURKEY:  MALAZGIRT","39.1","42.5","","6.3","6.3","10","3560","4","4","4"
"1903","TURKEY","140","TURKEY:  VARGINIS,CARDAHLI,MEHKEREK","40.9","42.7","","5.8","","8","1000","3","3",""
"1903","GREECE","130","GREECE:  MITATA (KYTHERA)","36","23","100","7.8","7.8","11","2","1","3",""
"1903","IRAN","140","IRAN:  KASHMAR","35.2","58.2","","5.9","5.9","8","350","3","2",""
"1903","CHILE","160","CHILE:  VALLENAR, FREIRINA","-28.5","-71","","6.5","6.5","8","","1","2","2"
"1904","TAIWAN","30","TAIWAN:  JIAYI","23.5","120.5","","6","6","","3","1","2","2"
"1904","GREECE","130","GREECE:  SAMOS, PATMOS","37.75","27","10","6.2","6.2","10","4","1","3","3"
"1904","CHINA","30","CHINA:  SICHUAN PROVINCE","31.2","100.9","","6","6","8","400","3","2","3"
"1904","TAIWAN","30","TAIWAN:  JIAYI","23.5","120.3","","6.3","6.3","","145","3","2","3"
